# Train        Test        
   86.562341    80.733971 
   86.349676    90.068466 
   87.571864    86.978783 
   88.903510    88.918243 
   89.949551    91.956146 
   90.663583    89.447342 
   91.025331    89.405106 
   90.578917    87.793564 
   89.698860    84.764999 
   88.621961    80.203232 
   87.360101    76.915848 
   86.506663    89.616219 
   86.176083    90.961952 
   87.468709    83.451965 
   88.737218    89.818008 
   89.628655    87.794495 
   90.089363    87.939568 
   91.054998    91.956825 
   91.189606    91.069809 
   90.442622    93.413902 
   89.557354    88.624802 
   88.340119    89.261253 
   87.455473    87.268059 
   86.745798    93.200638 
   87.086368    80.702332 
   88.142684    84.981934 
   89.277589   102.594643 
   90.450075    87.096504 
   90.843098   103.666611 
   90.692676    96.317375 
   90.814672    88.581749 
   89.566946    98.268196 
   89.116412    88.162880 
   87.889897    93.213631 
   86.546301    90.695053 
   86.651834    87.461250 
   87.424390    82.296555 
   88.463761   100.535591 
   89.761510    87.080002 
   90.472157    85.568932 
   89.981068    90.990875 
   91.084479    88.112251 
   89.961029    85.472198 
   88.669697    85.877983 
   87.994563    94.041824 
   87.118203    86.359314 
   86.264799    81.557426 
   87.892898    85.719696 
   88.220490    91.662064 
   89.580867    87.670303 
   90.244996    94.031746 
   91.363296    93.764977 
   90.734108    96.958313 
   89.992394    94.350044 
   89.426507    92.955063 
   87.759659    92.245583 
   86.704747    92.449448 
   85.689276    84.943695 
   86.992625    79.017426 
   87.460166    85.826347 
   89.513870    98.630630 
   90.476169    80.010551 
   91.071828    98.324364 
   90.702165    85.415482 
   90.785472    89.020912 
   89.446678    92.585472 
   88.351218    87.169205 
   87.590925    79.555321 
   86.255129    78.068298 
   86.353810    80.832649 
   87.819090    95.965424 
   88.703262    86.133995 
   89.927558    86.728065 
   90.465151   101.252022 
   90.783937    85.773331 
   90.342343    92.205284 
   90.357676    80.804321 
   89.151073    87.858032 
   87.955201    93.029297 
   86.965481    93.676468 
   86.191203    86.572929 
   87.325401    93.583710 
   87.776279    82.206993 
   90.111540    80.888237 
   89.929902    95.879021 
   90.789559    87.539795 
   90.855835    93.529205 
   90.412257    98.337036 
   89.413154    79.932472 
   87.750405   101.880714 
   87.265849    83.461388 
   85.793356    76.192932 
   86.647039   101.974747 
   87.752730    86.324844 
   88.958399    92.825294 
   90.569690    80.197731 
   90.166158    90.128494 
   90.750042   106.103760 
   89.899796    90.763779 
   89.737420    82.275635 
   88.023338    76.656540 
   86.977097    78.144997 
   86.193927    85.080017 
   86.465789    88.256264 
   87.024666    85.392677 
   88.255051    84.720955 
   91.195929    96.877373 
   90.725086   101.334816 
   90.679399    91.054893 
   90.609286    87.958321 
   89.371924    80.324997 
   88.548555    89.363983 
   87.683682    89.984833 
   86.296162    81.525490 
   86.530985    84.862556 
   86.863551    84.636368 
   88.042305    91.055885 
   88.833065    83.508583 
   89.464463    98.113739 
   90.695589    82.783211 
